,spkts,dpkts,sttl,dttl,smean,dmean,label
13160,2,0,254,0,100,0,1
14155,2,0,254,0,100,0,1
18156,10,6,254,252,53,45,0
19308,10,8,62,252,81,365,1
140,2,2,0,0,28,46,0
15915,10,6,254,252,89,45,1
12473,2,0,254,0,100,0,1
15266,10,8,62,252,84,285,1
421,16,18,31,29,96,91,0
7820,12,8,254,252,105,94,1
13856,2,0,254,0,100,0,1
4277,16,18,31,29,96,91,0
11857,2,0,254,0,100,0,1
2546,52,42,31,29,718,80,0
4806,10,12,31,29,53,735,0
2652,16,18,31,29,96,91,0
646,16,18,31,29,96,91,0
4884,4,4,31,29,142,76,0
4086,14,18,31,29,120,565,0
6787,2,0,254,0,100,0,1
7269,12,26,62,252,76,1125,1
7389,10,6,254,252,120,45,1
924,16,18,31,29,96,91,0
18729,2,0,254,0,84,0,1
1948,16,18,31,29,96,91,0
7243,12,8,254,252,105,87,1
291,2,2,31,29,65,81,0
4658,18,18,31,29,230,136,0
19961,10,8,254,252,223,44,1
3900,2,2,31,29,73,89,0
2503,16,18,31,29,96,91,0
4794,90,92,31,29,57,911,0
1729,4,4,31,29,142,76,0
10912,10,8,62,252,84,152,1
2229,16,18,31,29,96,91,0
12033,2,0,254,0,100,0,1
2435,16,18,31,29,96,91,0
917,16,18,31,29,96,91,0
3393,30,42,31,29,77,819,0
6682,2,0,254,0,100,0,1
4670,12,12,31,29,89,188,0
1296,30,42,31,29,77,819,0
2336,16,18,31,29,96,91,0
12784,2,0,254,0,100,0,1
912,52,42,31,29,716,80,0
13840,2,0,254,0,100,0,1
4138,16,18,31,29,96,91,0
12904,22,10,254,252,808,84,1
3709,2,2,31,29,73,89,0
4731,4,4,31,29,142,78,0
7912,2,0,254,0,84,0,1
2467,16,18,31,29,96,91,0
7668,10,8,254,252,161,44,1
18857,36,144,62,252,46,1140,1
8210,64,286,62,252,46,1280,1
10358,10,6,254,252,87,45,1
6963,10,6,254,252,70,45,1
11908,2,0,254,0,100,0,1
4337,64,66,31,29,59,785,0
17786,10,8,254,252,56,44,1
3944,12,12,31,29,89,188,0
15001,10,6,254,252,57,45,1
15458,10,8,254,252,53,44,1
1557,16,18,31,29,96,91,0
470,30,42,31,29,77,819,0
1642,12,18,31,29,132,565,0
12891,10,8,254,252,87,44,1
10621,2,0,254,0,90,0,1
3704,16,18,31,29,96,91,0
615,16,18,31,29,96,91,0
1002,28,30,31,29,166,103,0
4239,2,2,31,29,73,89,0
14838,2,0,254,0,301,0,1
2504,2,2,31,29,66,82,0
16757,10,6,254,252,59,45,1
7840,10,8,254,252,108,44,1
2100,52,38,31,29,716,83,0
765,16,18,31,29,80,143,0
4029,2,2,31,29,65,81,0
4197,52,42,31,29,716,80,0
9097,2,0,254,0,100,0,1
3942,4,4,31,29,130,76,0
13659,12,8,254,252,103,92,1
2296,2,2,31,29,73,89,0
14999,2,0,254,0,100,0,1
1171,16,18,31,29,96,91,0
1807,2,2,31,29,66,82,0
10609,10,12,62,252,85,610,1
2993,12,18,31,29,132,565,0
15212,20,8,254,252,864,44,1
9068,20,0,254,0,45,0,1
10424,2,0,254,0,100,0,1
17027,10,6,254,252,125,45,1
346,16,18,31,29,96,91,0
2769,16,18,31,29,96,91,0
4147,2,2,31,29,66,82,0
9507,18,26,62,252,57,515,1
15956,2,0,254,0,43,0,1
15666,12,8,254,252,224,58,1
18717,10,8,254,252,59,44,1
17167,60,14,254,252,1136,44,1
10954,2,0,254,0,100,0,1
6422,2,0,254,0,100,0,1
13308,12,8,254,252,83,95,1
15728,10,16,62,252,81,791,1
9908,10,6,254,252,54,45,1
12529,2,0,254,0,100,0,1
2806,12,18,31,29,132,565,0
15908,10,8,62,252,84,175,1
4436,38,40,31,29,64,482,0
8662,10,6,254,252,58,45,1
15373,14,12,254,252,58,57,1
9906,2,0,254,0,84,0,1
13919,2,0,254,0,100,0,1
14551,2,0,254,0,76,0,1
4045,2,2,31,29,66,82,0
16956,10,8,254,252,45,64,1
18036,4,0,254,0,272,0,1
328,4,4,31,29,142,78,0
18088,24,24,62,252,53,71,1
8833,60,28,62,252,971,81,1
17834,4,2,254,60,126,184,1
2069,16,18,31,29,96,91,0
1786,16,18,31,29,96,91,0
5277,10,8,62,252,75,122,1
9746,2,0,254,0,100,0,1
357,8,10,31,29,132,82,0
3580,8,10,31,29,132,82,0
15145,2,0,254,0,100,0,1
1213,16,18,31,29,96,91,0
19268,12,8,254,252,123,93,1
4462,40,42,31,29,64,551,0
3782,16,18,31,29,96,91,0
15171,10,8,62,252,81,241,1
4321,106,114,31,29,89,108,0
11995,2,0,254,0,100,0,1
12881,12,10,254,252,85,85,1
338,4,4,31,29,142,78,0
12906,2,0,254,0,100,0,1
572,8,10,31,29,132,82,0
3952,18,18,31,29,230,136,0
4300,14,18,31,29,120,565,0
4150,16,18,31,29,96,91,0
17952,14,10,254,252,55,56,1
4621,8,10,31,29,132,82,0
4171,28,30,31,29,152,103,0
3490,16,18,31,29,96,91,0
16895,2,0,254,0,208,0,1
13947,58,14,254,252,1174,44,1
10530,2,0,254,0,100,0,1
657,16,18,31,29,96,91,0
233,40,44,31,29,64,529,0
3622,16,18,31,29,96,91,0
14074,2,0,254,0,100,0,1
13486,10,6,254,252,118,45,1
9928,2,0,254,0,100,0,1
2990,16,18,31,29,96,91,0
591,2,2,31,29,73,89,0
15656,10,6,254,252,101,45,1
17988,10,8,254,252,83,44,1
3051,16,18,31,29,96,91,0
15499,10,10,254,252,61,65,1
1253,106,114,31,29,89,108,0
4886,362,746,31,29,53,1458,0
1730,40,42,31,29,64,551,0
2240,8,10,31,29,132,82,0
1942,62,58,31,29,96,138,0
17454,10,6,254,252,59,45,0
19411,2,0,254,0,209,0,1
12071,2,0,254,0,100,0,1
3424,4,4,31,29,132,76,0
18384,32,28,254,252,236,123,1
12735,2,0,254,0,100,0,1
17016,10,6,254,252,91,45,1
16729,10,8,254,252,81,44,1
12956,2,0,254,0,100,0,1
15818,10,6,254,252,96,45,1
4931,230,438,31,29,58,1252,0
3563,42,42,31,29,63,551,0
9662,2,0,254,0,100,0,1
19752,2,0,254,0,532,0,1
8609,2,0,254,0,100,0,1
4731,4,4,31,29,142,78,0
3588,12,18,31,29,132,565,0
5137,10,8,62,252,80,136,1
6212,10,6,254,252,59,45,1
11824,2,0,254,0,100,0,1
18747,2,0,254,0,532,0,1
18116,2,0,254,0,88,0,1
13998,2,0,254,0,52,0,1
16119,224,0,254,0,159,0,1
19084,20,0,254,0,64,0,1
14151,2,0,254,0,100,0,1
19317,2,0,254,0,84,0,1
12889,10,6,254,252,83,45,1
2266,16,18,31,29,96,91,0
13691,12,10,254,252,124,83,1
3796,2,2,31,29,73,89,0
12076,2,0,254,0,100,0,1
8077,18,18,62,252,56,134,1
4861,14,18,31,29,120,565,0
6210,2,0,254,0,100,0,1
14830,2,0,254,0,1073,0,1
4667,2,2,31,29,73,89,0
18532,20,16,254,252,252,44,1
7383,10,6,254,252,63,45,1
9275,2,0,254,0,100,0,1
17889,10,8,254,252,50,71,1
6706,12,12,254,252,48,57,1
18797,24,48,62,252,47,865,1
17177,60,14,254,252,1136,44,1
2225,16,18,31,29,96,91,0
9641,2,0,254,0,100,0,1
15814,42,0,254,0,440,0,1
3803,2,2,31,29,65,81,0
856,30,42,31,29,77,819,0
9930,826,140,62,252,1298,50,1
2201,2,2,31,29,65,81,0
2387,12,12,31,29,89,188,0
19601,10,6,254,252,78,45,1
14080,22,18,62,252,128,193,1
11090,26,24,254,252,134,130,1
10875,2,0,254,0,100,0,1
753,2,2,31,29,65,81,0
17879,2,0,254,0,84,0,1
13272,2,0,254,0,100,0,1
1541,16,18,31,29,96,91,0
8165,20,22,62,252,48,209,1
4608,450,858,31,29,56,1276,0
15636,8,8,62,252,46,104,1
18738,10,6,254,252,252,45,1
15934,2,0,254,0,120,0,1
4452,16,18,31,29,96,91,0
9319,2,0,254,0,100,0,1
4875,38,40,31,29,64,463,0
18359,10,6,254,252,100,45,1
6374,2,0,254,0,100,0,1
3902,18,20,31,29,230,128,0
2485,16,18,31,29,96,91,0
1365,30,42,31,29,77,819,0
2328,22,24,31,29,87,180,0
12382,2,0,254,0,100,0,1
12896,12,10,254,252,89,80,1
10670,2,0,254,0,90,0,1
2086,2,2,31,29,73,89,0
6664,8,8,62,252,46,193,1
475,16,18,31,29,96,91,0
5661,30,16,254,252,593,44,1
7074,2,0,254,0,84,0,1
2875,16,18,31,29,96,91,0
4484,2,2,31,29,65,81,0
15143,2,0,254,0,100,0,1
10837,10,6,254,252,93,45,1
15074,20,16,254,252,71,44,1
1918,40,42,31,29,64,551,0
1332,16,18,31,29,96,91,0
10659,2,0,254,0,100,0,1
2594,12,12,31,29,89,188,0
12659,2,0,254,0,100,0,1
4281,12,14,31,29,89,169,0
12297,2,0,254,0,100,0,1
681,16,18,31,29,96,91,0
19725,20,8,254,252,866,44,1
5097,2,2,31,29,65,81,0
35,14,12,62,252,127,247,0
13191,2,0,254,0,100,0,1
1173,30,42,31,29,77,819,0
10484,2,0,254,0,84,0,1
630,16,18,31,29,96,91,0
8736,12,10,254,252,69,55,1
18396,10,6,254,252,84,45,1
3387,8,10,31,29,132,82,0
2723,12,12,31,29,89,188,0
324,16,18,31,29,96,91,0
7984,22,22,62,252,54,74,1
3239,16,18,31,29,96,91,0
14032,10,6,254,252,126,45,1
14266,2,0,254,0,100,0,1
6888,10,6,254,252,59,45,1
862,16,18,31,29,96,91,0
9136,2,0,254,0,100,0,1
19299,10,20,62,252,82,806,1
5264,10,10,62,252,78,424,1
7121,10,6,254,252,49,45,1
1522,16,18,31,29,96,91,0
6712,2,0,254,0,100,0,1
2750,38,40,31,29,64,463,0
7986,8,8,62,252,46,115,1
13951,2,0,254,0,84,0,1
3116,16,18,31,29,96,91,0
2928,62,58,31,29,96,138,0
18701,10,6,254,252,131,45,1
14664,24,44,62,252,48,837,1
3500,4,4,31,29,130,76,0
2467,16,18,31,29,96,91,0
10747,2,0,254,0,100,0,1
5785,12,10,254,252,86,80,1
14941,24,20,62,252,333,80,1
217,2,2,31,29,66,82,0
359,8,10,31,29,132,82,0
11485,2,0,254,0,100,0,1
3328,52,54,31,29,56,69,0
5490,2,0,254,0,90,0,1
5645,2,0,254,0,100,0,1
4710,8,10,31,29,132,82,0
17861,10,6,254,252,326,45,1
2927,78,80,31,29,58,910,0
7124,2,0,254,0,84,0,1
17662,12,10,254,252,84,81,1
2659,12,18,31,29,132,565,0
3422,8,10,31,29,132,82,0
70,10,8,254,252,56,44,0
19598,2,0,254,0,440,0,1
3339,14,18,31,29,120,565,0
19960,2,0,254,0,997,0,1
11620,10,6,254,252,57,45,1
4912,16,18,31,29,96,91,0
5800,10,10,62,252,82,135,1
12522,2,0,254,0,100,0,1
829,16,18,31,29,96,91,0
3148,38,40,31,29,64,463,0
2162,30,42,31,29,77,819,0
3305,40,42,31,29,64,551,0
6773,10,6,254,252,232,45,1
12582,2,0,254,0,100,0,1
361,8,10,31,29,132,82,0
18556,10,8,62,252,84,147,1
19335,10,6,254,252,59,45,1
11061,2,0,254,0,100,0,1
10856,12,22,62,252,74,1070,1
15613,12,8,254,252,50,51,1
11285,10,6,254,252,86,45,1
16346,10,6,254,252,101,45,1
15345,54,24,62,252,898,79,1
2011,64,66,31,29,59,785,0
6260,2,0,254,0,100,0,1
5142,2,0,254,0,100,0,1
3838,12,18,31,29,132,565,0
16777,10,6,254,252,102,45,1
14657,10,22,62,252,45,1097,1
1601,12,18,31,29,132,565,0
9359,10,16,62,252,79,844,1
8587,2,0,254,0,90,0,1
8156,2,0,254,0,100,0,1
713,16,18,31,29,96,91,0
16051,4,4,254,60,395,665,1
1531,78,80,31,29,58,910,0
15936,28,0,254,0,458,0,1
1177,16,18,31,29,96,91,0
206,2,2,31,29,73,89,0
17072,10,6,254,252,80,45,1
26,10,6,254,252,53,45,0
18248,12,8,254,252,89,91,1
1274,38,40,31,29,64,463,0
19004,10,6,254,252,93,45,1
16611,12,8,254,252,86,89,1
15619,10,6,254,252,76,45,1
1002,28,30,31,29,166,103,0
795,16,18,31,29,96,91,0
4136,16,18,31,29,96,91,0
4676,16,18,31,29,80,143,0
5376,2,0,254,0,643,0,1
4855,48,50,31,29,62,610,0
12021,2,0,254,0,100,0,1
2169,52,36,31,29,716,85,0
17097,24,16,254,252,131,91,1
12814,2,0,254,0,39,0,1
18038,202,0,254,0,272,0,1
15751,10,6,254,252,68,45,1
2749,16,18,31,29,96,91,0
18815,12,8,254,252,254,92,1
10301,14,12,254,252,67,57,1
14494,2,0,254,0,100,0,1
16959,20,22,62,252,54,75,1
16375,18,22,62,252,55,322,1
3631,64,66,31,29,59,785,0
8716,22,0,254,0,108,0,1
658,2,2,31,29,66,82,0
4686,16,18,31,29,80,143,0
7585,2,0,254,0,1448,0,1
9802,2,0,254,0,100,0,1
9270,2,0,254,0,100,0,1
16491,10,8,62,252,82,298,1
6911,2,0,254,0,39,0,1
6467,2,0,254,0,100,0,1
673,16,18,31,29,96,91,0
3793,40,42,31,29,64,551,0
2689,2,2,31,29,66,82,0
14586,2,0,254,0,84,0,1
7904,12,6,254,252,218,45,1
5409,4,0,254,0,90,0,1
571,16,18,31,29,96,91,0
16555,12,10,254,252,70,55,1
825,16,18,31,29,96,91,0
6637,2,0,254,0,100,0,1
19811,10,8,62,252,93,401,1
4283,16,18,31,29,96,91,0
19375,12,10,254,252,135,81,1
19921,10,8,254,252,53,44,0
6089,2,0,254,0,100,0,1
18545,10,6,254,252,81,45,1
9915,2,2,254,60,51,123,1
4409,12,18,31,29,132,565,0
11671,2,0,254,0,100,0,1
2901,16,18,31,29,96,91,0
1281,40,42,31,29,64,551,0
999,8,10,31,29,132,82,0
16944,112,656,62,252,45,1311,1
19461,10,8,62,252,83,184,1
8692,2,0,254,0,90,0,1
14453,2,0,254,0,100,0,1
1923,2,2,31,29,73,89,0
585,16,18,31,29,96,91,0
5445,2,0,254,0,100,0,1
15002,10,8,254,252,53,44,1
822,16,18,31,29,96,91,0
5526,2,0,254,0,100,0,1
7450,12,10,254,252,83,83,1
6072,40,12,254,252,1144,44,1
1058,16,18,31,29,96,91,0
435,64,66,31,29,59,785,0
12499,2,0,254,0,100,0,1
16513,10,8,254,252,56,44,1
1384,16,18,31,29,96,91,0
10015,2,0,254,0,100,0,1
3540,12,12,31,29,89,188,0
1974,28,42,31,29,79,819,0
13523,10,8,254,252,56,44,1
8041,10,8,254,252,97,44,1
6594,2,0,254,0,100,0,1
532,8,10,31,29,132,82,0
6152,10,10,62,252,80,135,1
6375,12,8,62,252,73,133,1
2340,2,2,31,29,66,82,0
10655,10,6,254,252,57,45,1
1189,2,2,31,29,66,82,0
980,16,18,31,29,96,91,0
12791,2,0,254,0,1069,0,1
6286,2,0,254,0,100,0,1
2863,2,2,31,29,65,81,0
12650,2,0,254,0,100,0,1
3668,18,18,31,29,230,136,0
3201,28,30,31,29,152,103,0
17465,10,6,254,252,53,45,0
2437,16,18,31,29,96,91,0
4853,90,92,31,29,57,911,0
418,16,18,31,29,96,91,0
12303,2,0,254,0,100,0,1
2201,2,2,31,29,65,81,0
414,62,60,31,29,96,135,0
4496,6,8,31,29,53,233,0
4978,38,40,31,29,64,463,0
2300,2,2,31,29,73,89,0
13296,2,0,254,0,100,0,1
18967,8,16,62,252,46,953,1
5156,2,0,254,0,100,0,1
10466,10,8,254,252,101,146,1
7017,2,0,254,0,39,0,1
16300,24,22,62,252,52,75,1
6182,2,0,254,0,100,0,1
9500,2,0,254,0,100,0,1
5278,12,8,254,252,125,89,1
631,16,18,31,29,96,91,0
19886,10,10,62,252,96,613,1
10874,14,12,254,252,67,57,1
1004,16,18,31,29,96,91,0
10000,2,0,254,0,100,0,1
11022,10,8,254,252,56,44,1
14291,10,8,254,252,61,44,1
17835,4,2,254,60,126,184,1
816,16,18,31,29,96,91,0
12452,2,0,254,0,100,0,1
3473,2,2,31,29,66,82,0
11536,2,0,254,0,100,0,1
10473,2,0,254,0,100,0,1
14396,2,0,254,0,100,0,1
4,10,6,254,252,53,45,0
7134,20,20,62,252,136,91,1
2199,16,18,31,29,96,91,0
13364,2,0,254,0,84,0,1
18228,2,0,254,0,78,0,1
15963,14,12,254,252,55,54,1
10981,2,0,254,0,100,0,1
17885,10,8,62,252,81,116,1
192,2,2,31,29,66,82,0
12984,2,0,254,0,100,0,1
34,10,6,254,252,99,45,0
14625,2,0,254,0,100,0,1
9709,2,0,254,0,100,0,1
4189,64,66,31,29,59,785,0
1600,38,40,31,29,64,463,0
3667,122,126,31,29,64,120,0
19340,10,6,254,252,257,45,1
14054,2,0,254,0,100,0,1
7923,12,8,254,252,103,92,1
12345,2,0,254,0,100,0,1
11591,2,0,254,0,100,0,1
1151,106,114,31,29,89,108,0
1474,30,42,31,29,77,819,0
9827,2,0,254,0,100,0,1
17085,28,20,62,252,426,90,1
13626,12,10,254,252,83,84,1
8460,24,22,62,252,52,74,1
10115,10,10,62,252,72,341,1
16937,2,0,254,0,752,0,1
10489,2,0,254,0,90,0,1
2274,4,4,31,29,142,76,0
5460,10,8,254,252,56,44,1
19592,2,0,254,0,532,0,1
6981,16,10,254,252,66,56,1
4906,6,2,254,60,43,43,0
16441,10,6,254,252,76,45,1
19922,2,0,254,0,100,0,1
4859,90,92,31,29,57,911,0
8607,10,6,254,252,49,45,1
13295,2,0,254,0,100,0,1
1746,122,126,31,29,64,120,0
9383,66,0,254,0,108,0,1
14442,2,0,254,0,100,0,1
11765,2,0,254,0,100,0,1
11929,2,0,254,0,100,0,1
4374,30,42,31,29,77,819,0
19396,10,14,62,252,88,681,1
10264,16,10,254,252,61,56,1
1442,16,18,31,29,96,91,0
286,2,2,31,29,73,89,0
5437,2,0,254,0,90,0,1
1246,40,42,31,29,64,551,0
7337,10,6,254,252,91,45,1
886,16,18,31,29,96,91,0
3854,14,18,31,29,120,565,0
9996,8,0,254,0,60,0,1
11804,2,0,254,0,100,0,1
15504,2,0,254,0,52,0,1
5455,2,0,254,0,90,0,1
520,8,10,31,29,132,82,0
3427,38,40,31,29,64,463,0
2836,30,42,31,29,77,819,0
10286,7040,1046,254,252,1320,44,1
13801,10,8,254,252,45,47,1
2133,8,10,31,29,132,82,0
1489,2,2,31,29,66,82,0
842,6,8,31,29,53,233,0
17601,10,8,254,252,57,44,0
2226,2,2,31,29,66,82,0
2443,2,2,31,29,66,82,0
1582,16,18,31,29,96,91,0
6816,10,8,254,252,56,44,1
18400,2,0,254,0,52,0,1
1136,16,18,31,29,96,91,0
12642,2,0,254,0,100,0,1
14277,14,12,254,252,54,57,1
13246,24,18,254,252,83,86,1
6604,2,0,254,0,84,0,1
7032,10,8,254,252,56,44,1
15307,10,8,254,252,53,44,1
3237,16,18,31,29,96,91,0
19690,24,24,254,252,208,79,1
8589,10,8,254,252,57,44,1
6408,2,0,254,0,100,0,1
1216,16,18,31,29,96,91,0
19955,12,10,254,252,100,81,1
7858,2,0,254,0,100,0,1
10105,20,22,62,252,55,74,1
4434,4,0,63,0,67,0,0
7598,10,6,254,252,57,45,1
6708,2,0,254,0,84,0,1
15278,116,28,254,252,1172,49,1
10521,10,6,254,252,241,45,1
12818,10,8,254,252,56,44,1
3635,8,10,31,29,132,82,0
11313,2,0,254,0,100,0,1
4169,22,26,31,29,87,170,0
16092,10,8,254,252,78,44,1
14077,10,6,254,252,143,45,1
14486,2,0,254,0,100,0,1
2590,12,12,31,29,89,188,0
5958,2,0,254,0,100,0,1
12539,2,0,254,0,100,0,1
3792,52,38,31,29,716,83,0
9329,2,0,254,0,100,0,1
3973,78,80,31,29,58,910,0
1614,26,28,31,29,160,106,0
2517,8,10,31,29,132,82,0
4234,2,2,31,29,66,82,0
1735,8,10,31,29,132,82,0
15422,10,8,254,252,59,44,1
4316,52,54,31,29,56,69,0
1107,30,42,31,29,77,819,0
1864,2,2,31,29,73,89,0
14011,2,0,254,0,100,0,1
15972,14,6,254,252,647,45,1
473,16,18,31,29,96,91,0
1038,16,18,31,29,96,91,0
18964,10,20,62,252,45,947,1
17592,18,20,62,252,57,204,1
15007,2,0,254,0,100,0,1
9820,238,1530,62,252,46,1352,1
9616,2,0,254,0,532,0,1
8904,10,8,254,252,102,44,1
5765,8,10,62,252,46,375,1
12826,2,0,254,0,100,0,1
1939,16,18,31,29,96,91,0
6947,1,0,0,0,60,0,1
1623,16,18,31,29,96,91,0
4926,4,4,31,29,130,76,0
12093,2,0,254,0,100,0,1
9686,10,10,62,252,81,615,1
4891,64,66,31,29,59,785,0
12183,2,0,254,0,100,0,1
8085,2,0,254,0,100,0,1
2728,2,2,31,29,73,89,0
1294,2,2,31,29,66,82,0
11160,2,0,254,0,100,0,1
12092,2,0,254,0,100,0,1
15198,10,8,254,252,56,44,1
19259,12,6,254,252,291,45,1
15983,10,8,254,252,89,44,1
17933,114,34,62,252,1114,72,1
77,2,0,254,0,318,0,0
19910,10,8,254,252,53,44,0
16638,10,10,62,252,77,248,1
9519,64,14,254,252,1159,44,1
894,62,58,31,29,96,138,0
3362,2,2,31,29,73,89,0
12427,2,0,254,0,100,0,1
18134,36,24,62,252,636,82,1
6004,8,6,62,252,46,45,1
18631,10,8,62,252,76,44,1
15930,14,14,254,252,68,50,1
9219,10,8,254,252,56,44,1
15713,2,0,254,0,84,0,1
9360,2,0,254,0,100,0,1
10828,2,0,254,0,100,0,1
992,16,18,31,29,96,91,0
9125,2,0,254,0,84,0,1
19710,10,8,62,252,72,69,1
6867,2,0,254,0,84,0,1
3609,234,438,31,29,57,1252,0
12611,2,0,254,0,100,0,1
5038,6,2,254,60,43,43,0
5018,48,50,31,29,62,610,0
4796,2,2,31,29,73,89,0
734,52,42,31,29,718,80,0
12496,2,0,254,0,100,0,1
336,2,2,31,29,66,82,0
2097,2,2,31,29,73,89,0
5779,10,8,254,252,153,44,1
10222,2,0,254,0,100,0,1
7652,2,0,254,0,100,0,1
18131,22,10,254,252,659,63,1
7618,12,10,254,252,93,60,1
705,16,18,31,29,96,91,0
4034,4,4,31,29,132,76,0
18112,96,564,62,252,47,1321,1
10733,2,0,254,0,68,0,1
11450,2,0,254,0,100,0,1
764,16,18,31,29,96,91,0
2034,28,42,31,29,79,819,0
817,16,18,31,29,96,91,0
1145,28,30,31,29,166,103,0
18983,2,0,254,0,84,0,1
3099,30,42,31,29,77,819,0
11402,2,0,254,0,100,0,1
10471,2,0,254,0,100,0,1
19182,2,0,254,0,779,0,1
3464,16,18,31,29,96,91,0
4194,4,4,31,29,132,76,0
4606,4,4,31,29,142,76,0
12884,12,8,254,252,105,97,1
4723,2,2,31,29,66,82,0
5565,2,0,254,0,84,0,1
16899,10,6,254,252,89,45,1
2336,16,18,31,29,96,91,0
11451,2,0,254,0,100,0,1
3003,28,42,31,29,79,819,0
13030,2,0,254,0,100,0,1
17068,60,14,254,252,1137,44,1
994,38,40,31,29,64,463,0
19258,10,12,62,252,81,404,1
16645,22,10,254,252,807,83,1
8080,12,8,254,252,89,92,1
2338,30,42,31,29,77,819,0
4754,38,40,31,29,64,463,0
1901,8,10,31,29,132,82,0
2570,38,40,31,29,64,463,0
2609,52,42,31,29,718,80,0
13421,2,0,254,0,100,0,1
4543,16,18,31,29,96,91,0
389,40,42,31,29,64,551,0
2483,16,18,31,29,96,91,0
7381,2,0,254,0,100,0,1
4440,2,2,31,29,65,81,0
1900,106,114,31,29,89,108,0
478,16,18,31,29,96,91,0
11750,2,0,254,0,100,0,1
1932,16,18,31,29,96,91,0
17455,10,6,254,252,53,45,0
1058,16,18,31,29,96,91,0
2790,8,10,31,29,132,82,0
4116,64,66,31,29,59,785,0
7262,12,8,254,252,89,95,1
1229,42,42,31,29,63,551,0
13916,10,10,62,252,96,177,1
18814,4,0,254,0,272,0,1
1304,16,18,31,29,96,91,0
9246,12,12,254,252,218,57,1
19076,2,0,254,0,968,0,1
17105,10,6,254,252,76,45,1
151,16,18,31,29,96,91,0
14574,2,0,254,0,100,0,1
11838,4,0,254,0,100,0,1
11276,2,0,254,0,100,0,1
3799,40,42,31,29,64,551,0
11572,2,0,254,0,100,0,1
3381,16,18,31,29,96,91,0
2794,4,4,31,29,130,76,0
12504,2,0,254,0,100,0,1
11374,2,0,254,0,100,0,1
15081,10,18,62,252,82,775,1
6792,2,0,254,0,100,0,1
3328,52,54,31,29,56,69,0
2329,2,2,31,29,73,89,0
1474,30,42,31,29,77,819,0
1220,2,2,31,29,73,89,0
12570,2,0,254,0,100,0,1
18569,250,48,62,252,1321,43,1
6982,10,8,254,252,56,44,1
4988,12,12,31,29,89,188,0
13645,2,0,254,0,100,0,1
18416,2,0,254,0,52,0,1
1752,2,2,31,29,66,82,0
11610,2,0,254,0,100,0,1
14740,2,0,254,0,52,0,1
3990,122,126,31,29,64,115,0
1836,8,10,31,29,132,82,0
1307,14,18,31,29,120,565,0
8232,16,6,254,252,682,45,1
15026,2,0,254,0,52,0,1
17369,114,702,62,252,47,1334,1
11125,2,0,254,0,100,0,1
16642,10,8,62,252,81,243,1
5094,8,10,31,29,132,82,0
4343,22,24,31,29,87,180,0
12649,2,0,254,0,100,0,1
7026,10,6,254,252,91,45,1
15411,10,6,254,252,114,45,1
11228,2,0,254,0,100,0,1
6828,2,0,254,0,100,0,1
7932,2,0,254,0,261,0,1
11754,2,0,254,0,100,0,1
