,Flow Duration,Flow IAT Min,Bwd IAT Mean,Bwd IAT Std,Idle Max,Label
9164,8737,8737,0.0,0.0,0,1
16011,4071709,58,577039.5714,336884.4139,0,0
11775,188,188,0.0,0.0,0,0
7507,999981,999981,0.0,0.0,0,0
8569,1395,1395,0.0,0.0,0,1
5178,7,7,0.0,0.0,0,1
15514,2,2,0.0,0.0,0,1
3316,31334,24,24.0,0.0,0,0
18067,498,498,0.0,0.0,0,0
9908,382,382,0.0,0.0,0,0
7376,1756,1756,0.0,0.0,0,0
10541,10787,2,3451.333333,5674.861261,0,1
9289,116314384,0,9686388.75,22603792.83,58076305,0
10627,507,507,0.0,0.0,0,1
7867,197,21,0.0,0.0,0,0
13066,84,84,0.0,0.0,0,0
19938,78998458,0,4379703.056,14255654.33,58807865,0
18907,11413,11413,0.0,0.0,0,1
7159,15816565,0,235653.9254,1364412.289,10006352,0
8550,66090,1,1.0,0.0,0,0
19974,2,2,0.0,0.0,0,1
12184,35734,4,11909.66667,11096.45008,0,1
18219,86162075,86162075,0.0,0.0,86162075,0
13235,12644,26,4073.333333,6676.988044,0,1
11647,2,2,0.0,0.0,0,1
15746,2,2,0.0,0.0,0,1
3802,2,2,0.0,0.0,0,1
13923,361653,41,72474.0,1268.247347,0,0
11014,9932,9932,0.0,0.0,0,1
17046,61045217,1,4694867.231,5142455.905,10000000,0
19062,1074,7,564.0,0.0,0,0
7712,2,2,0.0,0.0,0,1
16954,155,155,0.0,0.0,0,0
4866,1553459,775107,0.0,0.0,0,0
15894,26116,26116,0.0,0.0,0,1
14650,241,241,0.0,0.0,0,0
17371,13170,21,4218.333333,6965.547956,0,1
5608,32631,568,8055.0,0.0,0,0
6822,10867,10867,0.0,0.0,0,0
14562,16169,6,15665.0,0.0,0,0
15409,1086,1086,0.0,0.0,0,0
12788,11,11,0.0,0.0,0,0
14081,3529,7,2932.0,0.0,0,0
1294,760545,1,0.0,0.0,0,0
12070,13647,13647,0.0,0.0,0,1
3874,12920,12920,0.0,0.0,0,0
11929,30452,30452,0.0,0.0,0,1
12615,7072,14,2227.666667,3537.315413,0,1
13976,733,733,0.0,0.0,0,1
7754,115264604,1,6124595.111,5018378.28,10004129,0
14532,24303,31,31.0,0.0,0,0
3134,1784292,3,276602.8333,358328.1219,0,0
8832,11975894,3,3991963.667,3593914.402,6971349,1
11283,13,13,0.0,0.0,0,0
9519,2465,2465,0.0,0.0,0,1
19510,96,96,0.0,0.0,0,0
7095,91,91,0.0,0.0,0,0
6319,2,2,0.0,0.0,0,0
11155,88028378,88028378,0.0,0.0,88028378,0
3933,9283863,1,150115.6,648603.0743,0,0
4203,200281,200281,0.0,0.0,0,0
8895,2027,2027,0.0,0.0,0,1
12352,15536,15536,0.0,0.0,0,1
15469,54596486,54600000,0.0,0.0,0,0
4679,14336,3,4777.666667,7248.144061,0,1
14661,993,993,0.0,0.0,0,1
1055,1,1,0.0,0.0,0,1
1408,2,2,0.0,0.0,0,1
11061,1074,3,422.0,0.0,0,0
11065,10997,31,3494.666667,5689.07781,0,1
13404,519,519,0.0,0.0,0,1
5285,9907,20,3152.666667,5095.972953,0,1
16634,18585,18585,0.0,0.0,0,0
5252,1522516,756923,0.0,0.0,0,0
838,3,3,0.0,0.0,0,1
6596,4316,4316,0.0,0.0,0,0
9875,11305,17,3601.0,5839.879194,0,1
13702,38617083,22,108769.0,0.0,0,0
2800,117514217,30,6979390.688,4658151.585,10006270,0
18545,6,6,0.0,0.0,0,1
12635,86,14,0.0,0.0,0,0
16748,15557,15557,0.0,0.0,0,1
8094,4236888,4,689960.5,715513.4299,0,0
6963,2359081,4,354978.1667,286554.1768,0,0
17300,1285,1285,0.0,0.0,0,1
9162,11762,20,3607.0,5896.505999,0,1
15721,277,21,0.0,0.0,0,0
4929,116921207,1,5840606.95,17940181.59,58451545,0
19913,465,465,0.0,0.0,0,1
19145,1661322,88,258929.1667,340810.5162,0,0
2738,7075,7075,0.0,0.0,0,1
9600,116658301,0,4159086.37,5036275.099,10159651,0
10256,836,1,198.0,184.2199772,0,0
19632,10304,23,3297.333333,5396.324706,0,1
7024,7015702,6,2338565.333,2517467.515,0,1
16432,96,96,0.0,0.0,0,0
9709,119454342,546837,0.0,0.0,19300000,0
13893,1459,1459,0.0,0.0,0,0
8109,3,0,0.0,0.0,0,0
14616,13450,13450,0.0,0.0,0,1
13088,1919,1919,0.0,0.0,0,1
13374,54216145,54200000,0.0,0.0,0,0
10083,17456,4,5816.333333,8901.084503,0,1
8664,1141,1141,0.0,0.0,0,0
17287,5783272,41,1927699.333,3338290.355,0,0
16586,1889,1889,0.0,0.0,0,1
9141,10345196,1,1146799.222,3320295.606,9950329,0
9303,1338,6,753.0,0.0,0,0
13008,8964,17,2835.0,4593.008165,0,1
1146,12493,21,3942.333333,6472.594096,0,1
2899,2208779,61,342782.1667,310729.6913,0,0
8230,12270,6,4088.0,6888.00617,0,1
9747,9522,6,3172.0,5243.302108,0,1
9062,2,2,0.0,0.0,0,1
5336,349704,5,16652.19048,28705.09912,0,1
11512,2867,2867,0.0,0.0,0,1
19009,1691,1691,0.0,0.0,0,1
7959,2,2,0.0,0.0,0,1
18812,4980,2,1659.333333,2024.23747,0,1
18223,19,19,0.0,0.0,0,1
16290,86455032,86455032,0.0,0.0,86455032,0
11887,22064,22064,0.0,0.0,0,1
16577,10269,22,3278.0,5316.654681,0,1
11696,102991511,1995017,0.0,0.0,29000000,0
13772,24632,24632,0.0,0.0,0,0
15461,587,20,0.0,0.0,0,0
14155,1,1,0.0,0.0,0,1
11391,9845,2,3124.666667,5004.578537,0,1
2113,3970525,3,548867.2857,359510.1943,0,0
12569,1140,8,497.0,0.0,0,0
12631,40150,345,1470.0,0.0,0,0
14317,53658117,53658117,0.0,0.0,0,0
12163,29793,4,29018.0,0.0,0,0
2120,546,546,0.0,0.0,0,1
5311,4244,4244,0.0,0.0,0,1
4470,10936,27,3296.0,5282.184018,0,1
11533,6,6,0.0,0.0,0,1
19416,40763,325,40417.0,0.0,0,0
6186,527,527,0.0,0.0,0,1
8035,770,28,176.6666667,154.2768075,0,0
16229,798,0,178.0,188.2206152,0,0
8987,13130,1,4165.0,6550.05313,0,1
1618,2118451,81,323095.6667,310568.4505,0,0
19398,4091,4091,0.0,0.0,0,1
3558,4105312,72,513113.875,396521.0074,0,0
14495,30556,30556,0.0,0.0,0,1
5269,1624078,94,224465.2857,347901.4447,0,0
4435,3855264,67,478166.5,313210.0164,0,0
18733,5079,5079,0.0,0.0,0,1
4512,2283,2283,0.0,0.0,0,1
19283,103,103,0.0,0.0,0,0
1790,380640,4,20033.26316,48025.88771,0,1
9370,54089840,54089840,0.0,0.0,0,0
15158,15166,15166,0.0,0.0,0,1
9740,508,508,0.0,0.0,0,1
2016,79,79,0.0,0.0,0,0
19750,54184571,54200000,0.0,0.0,0,0
2625,7,7,0.0,0.0,0,1
18520,1799,1799,0.0,0.0,0,0
17251,52620,26,26.0,0.0,0,0
11716,1229,7,662.0,0.0,0,0
4531,945,30,225.0,182.6170857,0,0
17908,24920,24920,0.0,0.0,0,0
13255,331939,3,15806.28571,28152.36579,0,1
18991,1104,16,0.0,0.0,0,0
18815,287,1,0.0,0.0,0,0
1262,7,7,0.0,0.0,0,1
5438,65145,31,47912.0,0.0,0,0
3145,2,2,0.0,0.0,0,1
6208,18008,18008,0.0,0.0,0,1
11854,4672,4672,0.0,0.0,0,1
5180,9400,14,3005.0,4670.593431,0,1
7519,86205934,86205934,0.0,0.0,86205934,0
5656,370962,5,17664.47619,35445.78818,0,1
7373,468,468,0.0,0.0,0,1
9970,357421,9,17019.57143,36629.88817,0,1
254,5961381,44,1987079.333,3441226.998,0,0
11345,563,563,0.0,0.0,0,1
6865,61402961,0,3410158.444,4810286.666,10000000,0
13995,4012,4,1336.0,1317.732522,0,1
6924,1266,2,421.3333333,533.3829144,0,1
17018,6,6,0.0,0.0,0,1
16767,4776933,0,19102.92,28696.38216,0,0
18224,1370,1370,0.0,0.0,0,0
17215,5757,5757,0.0,0.0,0,1
19573,5684,5684,0.0,0.0,0,1
1524,5,5,0.0,0.0,0,1
9820,286,286,0.0,0.0,0,0
3066,1000288,1000288,0.0,0.0,0,0
2141,6,6,0.0,0.0,0,1
1504,1157,1157,0.0,0.0,0,1
19538,6,6,0.0,0.0,0,1
18188,5,5,0.0,0.0,0,1
17624,1596,1596,0.0,0.0,0,1
17656,1492,1492,0.0,0.0,0,1
10326,56639883,1,4355648.462,4755514.491,10014563,0
12511,28,28,0.0,0.0,0,0
4526,5577824,0,13431.16667,19301.55301,5406659,0
4056,17200,17200,0.0,0.0,0,1
15485,2,2,0.0,0.0,0,1
3550,1201,4,399.0,487.7878637,0,1
10324,466956,97,0.0,0.0,0,0
12633,36162,33,4908.2,6399.547109,0,0
18416,502,502,0.0,0.0,0,1
2964,1,1,0.0,0.0,0,1
14984,277,277,0.0,0.0,0,0
2007,1,1,0.0,0.0,0,1
5623,5702,6,5091.0,0.0,0,0
1441,8125,8125,0.0,0.0,0,1
6546,124,124,0.0,0.0,0,0
12522,369,369,0.0,0.0,0,0
18128,7863,7863,0.0,0.0,0,0
13853,53371172,53371172,0.0,0.0,0,0
13567,1148,6,380.6666667,480.4012212,0,1
4571,2,2,0.0,0.0,0,1
18368,7863,7863,0.0,0.0,0,1
15947,3978430,73,550935.2857,389615.7554,0,0
2264,115360836,0,1738016.094,3836244.112,10200000,0
17137,40,40,0.0,0.0,0,0
10254,8,8,0.0,0.0,0,1
18142,297,121,0.0,0.0,0,0
11900,1053,29,273.6666667,269.169711,0,0
9113,943,943,0.0,0.0,0,0
4984,744043,43,247998.3333,220.4752443,0,0
9171,32861,32861,0.0,0.0,0,0
16434,112635889,56317879,0.0,0.0,56318010,0
7766,383,383,0.0,0.0,0,0
4038,15896,15896,0.0,0.0,0,1
610,1084,1084,0.0,0.0,0,0
17705,336,336,0.0,0.0,0,0
18966,6,6,0.0,0.0,0,1
13050,2110,2110,0.0,0.0,0,0
3867,522066,4,103654.75,1443.728824,0,0
1201,60515466,1,43969.90909,40320.26111,0,0
14706,5003076,7,1667689.667,2887231.169,0,1
5162,19,19,0.0,0.0,0,1
13779,2,2,0.0,0.0,0,1
13405,1894,1894,0.0,0.0,0,1
15189,2113788,2,321722.0,302777.0169,0,0
19296,16,16,0.0,0.0,0,0
18262,15931,15931,0.0,0.0,0,1
4219,364085,4,17337.09524,27955.27976,0,1
6159,841,841,0.0,0.0,0,0
3402,7980,7980,0.0,0.0,0,1
2668,333695,6,15889.85714,34442.74726,0,1
5179,2284,2284,0.0,0.0,0,0
17929,7,7,0.0,0.0,0,1
8985,783,13,155.6666667,147.7373796,0,0
1677,1699,1699,0.0,0.0,0,1
19184,15,15,0.0,0.0,0,0
16016,16549,3,5515.333333,8771.044769,0,1
16063,5150,5150,0.0,0.0,0,1
17215,5757,5757,0.0,0.0,0,1
6378,13113,4,4369.0,7128.64903,0,1
12417,212,212,0.0,0.0,0,0
13844,370662,7,19507.47368,32820.39813,0,1
16847,3063,3063,0.0,0.0,0,0
5574,145241,1,0.0,0.0,0,0
19399,2128658,95,324066.1667,308869.5788,0,0
198,1708,1708,0.0,0.0,0,1
6029,5427,5427,0.0,0.0,0,1
14625,489,489,0.0,0.0,0,1
7531,17950,17950,0.0,0.0,0,1
5080,70028070,0,1718622.618,9970880.622,58125661,0
12017,6351659,38,2117167.667,3666565.653,0,0
9117,118525531,3,10800000.0,23800000.0,58900000,0
15502,34,34,0.0,0.0,0,0
769,2389230,91,359705.5,291370.6037,0,0
12331,14001,14001,0.0,0.0,0,1
5901,811,6,231.0,0.0,0,0
16163,928,928,0.0,0.0,0,0
4544,10174,5,3389.666667,5658.006746,0,1
16782,1343,1343,0.0,0.0,0,1
10022,5284078,41,1761274.667,3050012.723,0,0
3057,86121385,86121385,0.0,0.0,86121385,0
14834,1401,4,885.0,0.0,0,0
5710,355949,556,254035.0,0.0,0,0
15985,12739,7,4244.0,7128.104657,0,1
12924,580,580,0.0,0.0,0,1
2450,11126,27,3544.0,5743.604878,0,1
5702,36889,36889,0.0,0.0,0,0
17869,24231,24231,0.0,0.0,0,1
14661,993,993,0.0,0.0,0,1
2060,5780765,19,33908.0,35098.25848,5648061,0
18072,6424,3,2140.333333,3455.45313,0,1
18147,859,1,204.6666667,185.2088911,0,0
17001,1153,6,646.0,0.0,0,0
16378,1388,1388,0.0,0.0,0,0
10573,60176669,1,25658.16667,30221.63834,0,0
1591,3973042,59,495900.75,390112.3053,0,0
12242,7,7,0.0,0.0,0,1
2127,2,2,0.0,0.0,0,1
5528,11232,1,3602.0,5924.677797,0,1
19791,702,702,0.0,0.0,0,1
7862,1928,1928,0.0,0.0,0,0
4521,1449,6,481.0,494.3308609,0,1
2304,436,436,0.0,0.0,0,0
7615,21083,21083,0.0,0.0,0,1
17019,254,254,0.0,0.0,0,0
16367,1640244,90,255533.5,335041.6993,0,0
18611,87,87,0.0,0.0,0,0
9325,6,6,0.0,0.0,0,1
17527,3650,3650,0.0,0.0,0,1
18704,15443,3,5146.666667,7141.183469,0,1
3679,11222,1,3572.333333,5791.927601,0,1
12763,8511,8511,0.0,0.0,0,1
6987,305006,15,52159.5,60397.58501,0,0
3880,4917606,20,1638848.667,2837486.689,0,0
1397,1,1,0.0,0.0,0,1
16887,2103754,2,320220.3333,312065.7697,0,0
4113,650,650,0.0,0.0,0,0
1496,1605,1605,0.0,0.0,0,1
7164,115158761,66,8568446.308,3806163.128,10000000,0
648,65,65,0.0,0.0,0,0
10186,11894,1,3800.0,6275.984465,0,1
17344,9569,17,3070.0,5051.665765,0,1
17352,2,2,0.0,0.0,0,1
15778,15462,15462,0.0,0.0,0,1
9641,24142,24142,0.0,0.0,0,0
12571,72,72,0.0,0.0,0,0
12709,490,490,0.0,0.0,0,1
17176,844,28,203.0,172.0784705,0,0
17109,112633532,56304755,0.0,0.0,56328777,0
12936,117238639,35,7326714.375,4396917.96,10004172,0
10312,916,916,0.0,0.0,0,0
5639,493,493,0.0,0.0,0,0
13838,1170,4,388.6666667,482.8647154,0,1
4284,400164,1,21061.10526,49496.56818,0,1
4862,31067,31067,0.0,0.0,0,1
631,1,1,0.0,0.0,0,0
6045,143635,67,0.0,0.0,0,0
11850,9695181,9695181,0.0,0.0,9695181,0
14292,22358,22358,0.0,0.0,0,1
12302,118465439,0,6025395.316,4984351.548,10198923,0
14285,23,23,0.0,0.0,0,0
13315,379,379,0.0,0.0,0,0
14549,1111,1111,0.0,0.0,0,0
14899,3997215,86,563772.5714,397729.9811,0,0
17119,13087,13087,0.0,0.0,0,0
6543,13257,13257,0.0,0.0,0,0
10847,605666,3,151398.75,104.8407523,0,0
370,11957469,4,3985821.667,3583080.452,6949138,1
13574,3,3,0.0,0.0,0,1
10365,2,2,0.0,0.0,0,1
7661,33,33,0.0,0.0,0,1
18071,393442,4,18734.85714,41782.65861,0,1
14693,472022,70,117988.0,206.6284911,0,0
14685,1558793,765645,0.0,0.0,0,0
5541,739,739,0.0,0.0,0,0
7524,4109264,3,680916.1667,1032685.782,0,0
7042,1547,3,514.6666667,686.8604904,0,1
17766,2335945,44,354446.8333,294351.4588,0,0
12280,289,289,0.0,0.0,0,0
17412,9750227,85,1606780.0,2956262.021,7399121,0
14921,3530434,4,374146.2222,289156.4289,0,0
10602,54662629,54662629,0.0,0.0,0,0
3328,496,496,0.0,0.0,0,1
918,4028668,86,565933.1429,334605.1818,0,0
67,16594,3,5530.0,8550.659331,0,1
11881,2496893,53,374727.5,284991.9637,0,0
12440,1372,7,798.0,0.0,0,0
19646,96303133,0,1374411.7,7426974.271,44697702,0
18665,2392122,98,358148.6667,292891.5723,0,0
10846,23942,19,0.0,0.0,0,0
18988,1315,3,639.0,0.0,0,0
10600,94,94,0.0,0.0,0,0
7803,380,380,0.0,0.0,0,0
8875,420063,5,20002.71429,41678.66669,0,1
2695,386529,3,18405.80952,39357.27505,0,1
12374,49492,6,48312.0,0.0,0,0
2246,86375815,86375815,0.0,0.0,86375815,0
13496,24513,24513,0.0,0.0,0,0
2888,1476,5,996.0,0.0,0,0
14064,4056497,94,504199.125,342417.045,0,0
16643,2333,2333,0.0,0.0,0,0
9929,53632829,53600000,0.0,0.0,0,0
19256,799,25,173.3333333,163.1022174,0,0
4673,6747,6747,0.0,0.0,0,1
18130,4018138,94,500361.5,400922.7995,0,0
5599,181186,86,0.0,0.0,0,0
7574,8,8,0.0,0.0,0,1
16265,19987,19987,0.0,0.0,0,1
19941,407,407,0.0,0.0,0,0
7423,1340,1340,0.0,0.0,0,1
13765,3399,3399,0.0,0.0,0,1
4962,82452,328,23603.0,0.0,0,0
6306,656,656,0.0,0.0,0,1
15204,116586097,1,8322084.714,21114727.52,58185638,0
1790,380640,4,20033.26316,48025.88771,0,1
17085,4211792,85,582372.7143,311640.5109,0,0
5202,2611,2611,0.0,0.0,0,1
14555,11377126,4,3792374.0,3355160.56,6375829,1
4121,7180,7180,0.0,0.0,0,1
4181,593,593,0.0,0.0,0,1
17491,69,69,0.0,0.0,0,0
18615,53807729,53807729,0.0,0.0,0,0
15990,7,7,0.0,0.0,0,1
1752,1833,1833,0.0,0.0,0,1
3887,621,621,0.0,0.0,0,1
9041,5120725,3,1706907.333,2854375.018,0,1
4768,117685336,48,8094677.786,3950090.357,10001956,0
379,942,942,0.0,0.0,0,0
8430,31221,6,30617.0,0.0,0,0
16632,2672762,2672762,0.0,0.0,0,1
4256,5330145,0,661502.0,1755923.125,0,0
18238,383587,7,20187.57895,37735.40695,0,1
19253,2373,20,0.0,0.0,0,0
17569,2231321,4,327828.5,473370.9793,0,0
13363,68,68,0.0,0.0,0,0
15239,1,1,0.0,0.0,0,1
18965,116033428,1,4798355.696,5122027.129,10000000,0
6055,382,382,0.0,0.0,0,0
14651,1265,7,617.0,0.0,0,0
11221,2,2,0.0,0.0,0,1
13795,2191365,37,285049.5714,135332.0538,0,0
5259,18739,1,6105.333333,10297.98865,0,1
19169,17292,17292,0.0,0.0,0,1
14248,1655,1655,0.0,0.0,0,1
13133,296,296,0.0,0.0,0,0
14380,1445,6,916.0,0.0,0,0
10623,410,410,0.0,0.0,0,0
8782,2090414,4,324066.5,296714.6201,0,0
8710,465,465,0.0,0.0,0,1
11404,1018650,1018650,0.0,0.0,0,0
3371,14824,5,14321.0,0.0,0,0
18193,1294,1294,0.0,0.0,0,1
4496,44170472,44170472,0.0,0.0,44170472,1
14551,2589,2589,0.0,0.0,0,0
12539,1480,6,902.0,0.0,0,0
6562,1408,1408,0.0,0.0,0,1
19157,600,600,0.0,0.0,0,1
13568,515,515,0.0,0.0,0,1
11506,1629,1629,0.0,0.0,0,0
2742,32253,392,31747.0,0.0,0,0
4377,119411174,2,4969036.458,16400000.0,58000000,0
11407,55,1,0.0,0.0,0,0
15978,2,2,0.0,0.0,0,1
3509,324977,10,45779.6,60606.7205,0,0
8072,304,304,0.0,0.0,0,0
7647,1354,1354,0.0,0.0,0,0
8478,93760,1362,59915.0,0.0,0,0
5700,88146176,88146176,0.0,0.0,88146176,0
5904,4162,4162,0.0,0.0,0,1
11353,11124,11124,0.0,0.0,0,1
18102,446,446,0.0,0.0,0,1
16020,22,22,0.0,0.0,0,0
3445,69,69,0.0,0.0,0,0
18487,15845156,15845156,0.0,0.0,15845156,1
14203,1992,1992,0.0,0.0,0,0
5786,21996,21996,0.0,0.0,0,1
19284,154438,1,0.0,0.0,0,0
9023,5958156,42,1985980.333,3439211.756,0,0
8498,1317,1317,0.0,0.0,0,1
19013,3623,3623,0.0,0.0,0,1
14923,6,6,0.0,0.0,0,1
8632,703,28,162.0,155.8300356,0,0
7658,5669,5669,0.0,0.0,0,1
947,1,1,0.0,0.0,0,1
9155,1509,1509,0.0,0.0,0,1
16238,14382,2,4793.333333,7578.156592,0,1
2210,1584,1584,0.0,0.0,0,1
101,461,461,0.0,0.0,0,1
2642,6069981,48,2023280.333,3503994.787,0,0
12491,115839856,20,8494882.077,3763000.727,10016140,0
16247,13982,4,4659.333333,7157.596408,0,1
5067,3855,3855,0.0,0.0,0,1
7108,547,547,0.0,0.0,0,1
2039,12,12,0.0,0.0,0,0
12872,26623,26623,0.0,0.0,0,1
4999,16161,16161,0.0,0.0,0,1
18750,4218,4218,0.0,0.0,0,1
8608,13,13,0.0,0.0,0,0
9524,503,503,0.0,0.0,0,1
7553,26859,4,8950.666667,7845.346476,0,1
1685,6436,6436,0.0,0.0,0,1
8888,1,0,0.0,0.0,0,0
15670,29104,29104,0.0,0.0,0,1
14103,10800,6,3598.0,5952.07216,0,1
